Region,EU27,RoW,China,India,Russia,USA
Level,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Item,Final consumption,Final consumption,Final consumption,Final consumption,Final consumption,Final consumption
Item,,,,,,
Glass (stock_addition),7089175.5431745825,12264808.322786875,4651802.5475733,227213.9679844257,445849.4984659899,7116901.419096052
Ashes (stock_addition),1.7448739831329614,0.0,0.0,0.0,0.0,0.0
Steel (stock_addition),75552102.3977352,202800196.7512219,192208873.33096668,46637128.70771406,24113250.820344046,52850117.54902816
Precious metals (stock_addition),943.4936127151843,5671.1723873941055,944.7409519236024,111.9421797301495,36.011613374176065,2126.5944051614815
Aluminium (stock_addition),3056623.510600176,7619154.046174708,7104279.319227946,898880.4686767714,888171.4370943535,3038496.988336579
Lead (stock_addition),661960.4969522689,1154038.6511079355,214908.8858285614,2467146.955052246,31438.074384375217,681213.2894315326
Copper (stock_addition),454704.2932654275,1826842.2697778856,1317152.2647924544,264961.0428015982,151289.58067599102,393739.73159759596
non-ferrous metals (stock_addition),1595703.9409292003,8163011.294061972,1736034.3261881177,8132704.052481111,197708.60334914178,1185603.1150889979
Construction materials and mining waste (excl. unused mining material) (stock_addition),32717487.06755292,40849247.33239648,763903.8486211268,2072314.8224488513,2992700.178702104,4775538.841919644
Oils and hazardous materials (stock_addition),4226343.67794197,14929082.595235238,10171163.484288111,826047.676102031,407438.16238020075,4263144.432332059
Sewage (stock_addition),741313.3747333556,2559138.3762249174,0.0,0.0,0.0,0.0
Mining waste (stock_addition),0.0,0.0,0.0,0.0,0.0,0.0
Unused waste (stock_addition),0.0,0.0,0.0,0.0,0.0,0.0
supply of crop residues (crop_res),0.0,0.0,0.0,0.0,0.0,0.0
